producto_unificado,categorias,sub-categoria,Indice
Celular libre Samsung galaxy a54 8 128gb black,electrodomesticos y tecnologia,celulares,celulares y pequenos electrodomesticos
Celular Samsung Galaxy A04s 128gb 4gb Ram Negro,electrodomesticos y tecnologia,celulares,celulares y pequenos electrodomesticos
Smartband Soul SLIM 200 rosa,electrodomesticos y tecnologia,celulares,celulares y pequenos electrodomesticos
Reloj SmartWatch Xiaomi Redmi Smart Band 2 GL - Ivory,electrodomesticos y tecnologia,celulares,celulares y pequenos electrodomesticos
Celular libre Samsung Galaxy A04e 3GB 32GB azul,electrodomesticos y tecnologia,celulares,celulares y pequenos electrodomesticos
Samsung Galaxy S23 Ultra 256 GB Green SM-S918BZGM,electrodomesticos y tecnologia,celulares,celulares y pequenos electrodomesticos
Celular Samsung Galaxy A34 128gb 6gb Ram Awesome Lime,electrodomesticos y tecnologia,celulares,celulares y pequenos electrodomesticos
Samsung Galaxy A14 - 128GB Black,electrodomesticos y tecnologia,celulares,celulares y pequenos electrodomesticos
Samsung Galaxy S21 FE 5G 128 GB / 6 GB RAM White Fan Edition,electrodomesticos y tecnologia,celulares,celulares y pequenos electrodomesticos
Samsung Galaxy A34 5G - 128GB SILVER-,electrodomesticos y tecnologia,celulares,celulares y pequenos electrodomesticos
Celular libre Samsung GALAXY A34 5G 6GB 128GB,electrodomesticos y tecnologia,celulares,celulares y pequenos electrodomesticos
Samsung Galaxy A04 64 GB / 4 GB RAM White SM-A045MZWE,electrodomesticos y tecnologia,celulares,celulares y pequenos electrodomesticos
Xiaomi Redmi 12C 4GB RAM 128GB ROM Lavender Purple,electrodomesticos y tecnologia,celulares,celulares y pequenos electrodomesticos
Reloj Smart Band Xiaomi Smart Band 7 GL,electrodomesticos y tecnologia,celulares,celulares y pequenos electrodomesticos
Cable USB tipo-C,electrodomesticos y tecnologia,celulares,celulares y pequenos electrodomesticos
Samsung Galaxy A14 5G 128GB / 4GB 6.6   50Mpx Black,electrodomesticos y tecnologia,celulares,celulares y pequenos electrodomesticos
"Monitor LED 32"" CHIQ  / QHD/ HDMI/ 32F600",electrodomesticos y tecnologia,informatica,informatica
"Monitor led Chiq  27"" fhd hdmi vga",electrodomesticos y tecnologia,informatica,informatica
"Monitor Led 24"" CHIQ  FHD/ HDMI /LMN24F650",electrodomesticos y tecnologia,informatica,informatica
Impresora multifuncion Epson sistema continuo wi-fi Ecotank L3250 negro,electrodomesticos y tecnologia,informatica,informatica
Cable USB Tipo C Poss round 1 mt PSUSBC2-1 blanco,electrodomesticos y tecnologia,informatica,informatica
"Notebook Noblex  14"" HD CEL N4020C / 4GB/ 128GB SSD",electrodomesticos y tecnologia,informatica,informatica
"Monitor led  HKC 24"" FHD HK24FHDP negro",electrodomesticos y tecnologia,informatica,informatica
Consola PS5 HW digital God Of  War Bundle,electrodomesticos y tecnologia,informatica,informatica
Mouse optico maxell azul 5 botones mod 438418,electrodomesticos y tecnologia,informatica,informatica
"Notebook HP 14"" celn4120 4gb ram 256gb ssd 14",electrodomesticos y tecnologia,informatica,informatica
"Monitor led Samsung 24"" FHD VGA HDMI LF24T350FHLCZB negro",electrodomesticos y tecnologia,informatica,informatica
Mouse gamer Poss psgm8022bk,electrodomesticos y tecnologia,informatica,informatica
Cable micro usb Poss Round PSMICRO-1RBK negro,electrodomesticos y tecnologia,informatica,informatica
Cable micro usb Poss Round  PSMICRO-1RWH blanco,electrodomesticos y tecnologia,informatica,informatica
Teclado con cable Poss psk313bk negro,electrodomesticos y tecnologia,informatica,informatica
Impresora sist continuo Epson wi fi ecotank l1250,electrodomesticos y tecnologia,informatica,informatica
Botella de tinta HP GT53 negro,electrodomesticos y tecnologia,informatica,informatica
"Monitor Led 27"" Noblex fhd 91MK27X7100",electrodomesticos y tecnologia,informatica,informatica
Mouse optico Maxell plata 5 botones mod 438418,electrodomesticos y tecnologia,informatica,informatica
Mouse optico Maxell azul 5 botones mod 438418,electrodomesticos y tecnologia,informatica,informatica
Botella tinta Epson T544520-4P pack x 4 uni CMYK,electrodomesticos y tecnologia,informatica,informatica
Microfono Karaoke inalambrico PG9207,electrodomesticos y tecnologia,informatica,informatica
Botella de tinta HP GT52  amarilla,electrodomesticos y tecnologia,informatica,informatica
Mouse optico Maxell Gaming SAMURAI MXG negro,electrodomesticos y tecnologia,informatica,informatica
Impresora multifuncion HP DeskJet Ink Advantage DJ-2375,electrodomesticos y tecnologia,informatica,informatica
Teclado gamer Poss psgk808bk,electrodomesticos y tecnologia,informatica,informatica
Reproductor sreaming Roku Express 4k 3940mx 1GB,electrodomesticos y tecnologia,informatica,informatica
Cable adaptador Noga audio miniplug negro,electrodomesticos y tecnologia,informatica,informatica
Mouse con cable usb Poss psom05bk negro,electrodomesticos y tecnologia,informatica,informatica
Notebook Exo 14 celn4020 4gb 128gb 256gb ssd smart,electrodomesticos y tecnologia,informatica,informatica
Cartucho HP 667 Tri Color,electrodomesticos y tecnologia,informatica,informatica
"Notebook Lenovo 15"" ci5 12450h 8gb ram 512gb ssd sl",electrodomesticos y tecnologia,informatica,informatica
Teclado inalambrico Maxell wkbc 20 negro slim,electrodomesticos y tecnologia,informatica,informatica
"Tablet 10"" Pcbox 4GB ram 64GB t105quick gris",electrodomesticos y tecnologia,informatica,informatica
Cable hdmi a hdmi Poss 3m negro,electrodomesticos y tecnologia,informatica,informatica
Teclado con cable usb Maxell kb90 basic negro,electrodomesticos y tecnologia,informatica,informatica
"Tablet 12"" Lenovo 12 pro 8gb 256gb ufs 3 1 za9d0075",electrodomesticos y tecnologia,informatica,informatica
Teclado mouse maxell inalambrico wkbc 300 negro,electrodomesticos y tecnologia,informatica,informatica
Botella de Tinta HP M0H55AL Magenta Deskjet Gt5820 8000p,electrodomesticos y tecnologia,informatica,informatica
Pc de escritorio GFAST CEL N4020 4GB 120GB H 150 CHILD I4120W,electrodomesticos y tecnologia,informatica,informatica
Cable hdmi a mini hdmi Poss 1.8m negro,electrodomesticos y tecnologia,informatica,informatica
Cartucho de Tinta HP 664 F6V29AL NEGRO original 3775 4535,electrodomesticos y tecnologia,informatica,informatica
Cartucho de Tinta HP 664 F6V28AL TRICOLOR original 3775 3785,electrodomesticos y tecnologia,informatica,informatica
Memoria Ram Hikvision 8GB DDR4 3200MHZ SODIMM,electrodomesticos y tecnologia,informatica,informatica
Notebook Lenovo 14 ci3 1115g4 8gb 256gb 82h701dtar,electrodomesticos y tecnologia,informatica,informatica
"Monitor led Samsung 22"" FHD VGA HDMI LF22T350FHLCZB negro",electrodomesticos y tecnologia,informatica,informatica
"Tablet 8"" Samsung 3GB 32GB GALAXY TAB A7 LITE",electrodomesticos y tecnologia,informatica,informatica
Botella De Tinta Hp Gt53 1VV22AL Negro Original 90Ml,electrodomesticos y tecnologia,informatica,informatica
Yogur entero natural Yogurisimo sin azucar 300 g.,lacteos,yogures,Leche/ productos lacteos/ huevos y alimentos vegetales
Yogur bebible frutilla La SerenIsima clasico 900 g.,lacteos,yogures,Leche/ productos lacteos/ huevos y alimentos vegetales
Yogur firme vainilla La Serenisima clasico 120 g.,lacteos,yogures,Leche/ productos lacteos/ huevos y alimentos vegetales
Yogur firme frutilla La Serenisima clasico 120 g.,lacteos,yogures,Leche/ productos lacteos/ huevos y alimentos vegetales
Yogur bebible entero La serenisima de frutilla en sachet 1100 g.,lacteos,yogures,Leche/ productos lacteos/ huevos y alimentos vegetales
Yogur bebible descremado frutilla La Serenisima clasico 900 g.,lacteos,yogures,Leche/ productos lacteos/ huevos y alimentos vegetales
Yogur bebible vainilla La SerenIsima clasico 900 g.,lacteos,yogures,Leche/ productos lacteos/ huevos y alimentos vegetales
Yogur bebible entero Gran compra sabor frutilla 900 g.,lacteos,yogures,Leche/ productos lacteos/ huevos y alimentos vegetales
Yogur bebible descremado vainilla La Serenisima clasico 900 g.,lacteos,yogures,Leche/ productos lacteos/ huevos y alimentos vegetales
Yogur descremado cremoso La serenisima sabor vainilla en pote 120 g.,lacteos,yogures,Leche/ productos lacteos/ huevos y alimentos vegetales
Yogur firme vainilla La Serenisima clasico 190 g.,lacteos,yogures,Leche/ productos lacteos/ huevos y alimentos vegetales
Yogur bebible entero La serenisima de vainilla en sachet 1100 g.,lacteos,yogures,Leche/ productos lacteos/ huevos y alimentos vegetales
Yogur bebible entero Gran compra sabor vainilla 900 g.,lacteos,yogures,Leche/ productos lacteos/ huevos y alimentos vegetales
Yogur descremado cremoso La serenisima 120 g.,lacteos,yogures,Leche/ productos lacteos/ huevos y alimentos vegetales
Yogur cremoso entero Milkaut de frutilla en pote 120 g.,lacteos,yogures,Leche/ productos lacteos/ huevos y alimentos vegetales
Yogur cremoso entero Milkaut de vainilla en pote 120 g.,lacteos,yogures,Leche/ productos lacteos/ huevos y alimentos vegetales
Yogur entero cremoso La serenisima sabor vainilla 120 g.,lacteos,yogures,Leche/ productos lacteos/ huevos y alimentos vegetales
Yogur entero La serenisima cremoso de durazno en pote 120 g.,lacteos,yogures,Leche/ productos lacteos/ huevos y alimentos vegetales
Yogur batido frutilla La Serenisima clasico 120 g.,lacteos,yogures,Leche/ productos lacteos/ huevos y alimentos vegetales
Yogur bebible durazno La SerenIsima clasico 900 g.,lacteos,yogures,Leche/ productos lacteos/ huevos y alimentos vegetales
Yogur firme frutilla Gran Compra 120 g.,lacteos,yogures,Leche/ productos lacteos/ huevos y alimentos vegetales
Yogur firme frutilla La Serenisima clasico 190 g.,lacteos,yogures,Leche/ productos lacteos/ huevos y alimentos vegetales
Yogur descremado La serenisima con cereales 157 g.,lacteos,yogures,Leche/ productos lacteos/ huevos y alimentos vegetales
Yogur griego arandanos a la crema Yogurisimo 125 g.,lacteos,yogures,Leche/ productos lacteos/ huevos y alimentos vegetales
Yogur griego vainilla caramel Yogurisimo 125 g.,lacteos,yogures,Leche/ productos lacteos/ huevos y alimentos vegetales
Yogur con rocklets La Serenisima clasico 164 g.,lacteos,yogures,Leche/ productos lacteos/ huevos y alimentos vegetales
Yogur natur big pot natural Ser 300 g.,lacteos,yogures,Leche/ productos lacteos/ huevos y alimentos vegetales
Yogur firme descremado frutilla La Serenisima clasico 190 g.,lacteos,yogures,Leche/ productos lacteos/ huevos y alimentos vegetales
Yogur entero natural Yogurisimo conicet 300 g.,lacteos,yogures,Leche/ productos lacteos/ huevos y alimentos vegetales
Yogur con cereales Yogurisimo 166 g.,lacteos,yogures,Leche/ productos lacteos/ huevos y alimentos vegetales
Yogur bebible frutilla Yogurisimo 900 g.,lacteos,yogures,Leche/ productos lacteos/ huevos y alimentos vegetales
Yogur bebible deslactosado vainilla La Serenisima clasico 900 g.,lacteos,yogures,Leche/ productos lacteos/ huevos y alimentos vegetales
Yogur natural endulzado Yogurisimo 190 g.,lacteos,yogures,Leche/ productos lacteos/ huevos y alimentos vegetales
Yogur bebible deslactosado frutilla La Serenisima clasico 900 g.,lacteos,yogures,Leche/ productos lacteos/ huevos y alimentos vegetales
Yogur descremado Milkaut vainilla pote 190 g.,lacteos,yogures,Leche/ productos lacteos/ huevos y alimentos vegetales
Yogur batido natural Ser sin endulzar 150 g.,lacteos,yogures,Leche/ productos lacteos/ huevos y alimentos vegetales
Yogur entero Milkaut de frutilla en sachet 905 g.,lacteos,yogures,Leche/ productos lacteos/ huevos y alimentos vegetales
Yogur bebible vainilla Yogurisimo 900 g.,lacteos,yogures,Leche/ productos lacteos/ huevos y alimentos vegetales
Yogur batido descremado Gran compra de vainilla 120 g.,lacteos,yogures,Leche/ productos lacteos/ huevos y alimentos vegetales
Yogur griego Yogurisimo lemon pie 125 g.,lacteos,yogures,Leche/ productos lacteos/ huevos y alimentos vegetales
Yogur entero La Cremeria con confites de frutilla 120 g.,lacteos,yogures,Leche/ productos lacteos/ huevos y alimentos vegetales
Yogur firme vainilla Gran Compra 120 g.,lacteos,yogures,Leche/ productos lacteos/ huevos y alimentos vegetales
Yogur batido descremado Gran compra de frutilla 120 g.,lacteos,yogures,Leche/ productos lacteos/ huevos y alimentos vegetales
Yogur entero Milkaut sabor vainilla sachet 905 g.,lacteos,yogures,Leche/ productos lacteos/ huevos y alimentos vegetales
Yogur batido arandanos La Serenisima clasico 140 g.,lacteos,yogures,Leche/ productos lacteos/ huevos y alimentos vegetales
Yogur entero Milkaut de vainilla 0 lact en pote 120 g.,lacteos,yogures,Leche/ productos lacteos/ huevos y alimentos vegetales
Yogur firme vainilla pack x4 Yogurisimo 120 g.,lacteos,yogures,Leche/ productos lacteos/ huevos y alimentos vegetales
Yogur cremix vainilla pack x4 Yogurisimo 120 g.,lacteos,yogures,Leche/ productos lacteos/ huevos y alimentos vegetales
Leche entera UAT Carrefour classic tetra 1 lt.,lacteos,leches,Leche/ productos lacteos/ huevos y alimentos vegetales
Leche UAT entera Carrefour classic brik 1 lt.,lacteos,leches,Leche/ productos lacteos/ huevos y alimentos vegetales
Leche ultra entera Carrefour classic sachet 1 lt.,lacteos,leches,Leche/ productos lacteos/ huevos y alimentos vegetales
Leche entera larga vida La Serenisima clasica 3% botella 1 l.,lacteos,leches,Leche/ productos lacteos/ huevos y alimentos vegetales
Leche multivitaminas 3% La Serenisima sachet 1 l.,lacteos,leches,Leche/ productos lacteos/ huevos y alimentos vegetales
Leche multivitaminas 1% La Serenisima sachet 1 l.,lacteos,leches,Leche/ productos lacteos/ huevos y alimentos vegetales
Leche La Serenisima reducida en lactosa sachet 1 l.,lacteos,leches,Leche/ productos lacteos/ huevos y alimentos vegetales
Leche entera La Serenisima uat fortificada 3% tetra 200 cc.,lacteos,leches,Leche/ productos lacteos/ huevos y alimentos vegetales
Leche entera Casanto 3 ultra para sachet 1 l.,lacteos,leches,Leche/ productos lacteos/ huevos y alimentos vegetales
Leche clasica Las tres ninas 3% fortificada 1 lt.,lacteos,leches,Leche/ productos lacteos/ huevos y alimentos vegetales
Leche multivitaminas 2% La Serenisima sachet 1 l.,lacteos,leches,Leche/ productos lacteos/ huevos y alimentos vegetales
Leche condensada Carrefour tetra 395 g.,lacteos,leches,Leche/ productos lacteos/ huevos y alimentos vegetales
Leche UAT parcialmente descremada Carrefour classic brik 1 lt.,lacteos,leches,Leche/ productos lacteos/ huevos y alimentos vegetales
Leche parcialmente descremada UAT Carrefour classic tetra 1 lt.,lacteos,leches,Leche/ productos lacteos/ huevos y alimentos vegetales
Leche La serenisima liviana 1% 1L,lacteos,leches,Leche/ productos lacteos/ huevos y alimentos vegetales
Leche ulta parcial descremada Carrefour classic sachet 1 lt.,lacteos,leches,Leche/ productos lacteos/ huevos y alimentos vegetales
Leche descremada larga vida La Serenisima cero lactosa 1 l.,lacteos,leches,Leche/ productos lacteos/ huevos y alimentos vegetales
Leche descremada La Serenisima UAT proteinas 1 l.,lacteos,leches,Leche/ productos lacteos/ huevos y alimentos vegetales
Leche en polvo descremada fortificada La Serenisima 200 g.,lacteos,leches,Leche/ productos lacteos/ huevos y alimentos vegetales
Leche en polvo La serenisima zero lactosa 400 g.,lacteos,leches,Leche/ productos lacteos/ huevos y alimentos vegetales
Leche en polvo entera Carrefour classic pouch 400 g.,lacteos,leches,Leche/ productos lacteos/ huevos y alimentos vegetales
Leche en polvo descremada Carrefour classic pouch 125 g.,lacteos,leches,Leche/ productos lacteos/ huevos y alimentos vegetales
Leche en polvo entera Carrefour classic pouch 125 g.,lacteos,leches,Leche/ productos lacteos/ huevos y alimentos vegetales
Bebida a base de proteinas lacteas Molico bolsa 800 g.,lacteos,leches,Leche/ productos lacteos/ huevos y alimentos vegetales
Leche en polvo descremada Svelty 370 g.,lacteos,leches,Leche/ productos lacteos/ huevos y alimentos vegetales
Leche en polvo entera Franz con vitamina A y D 800 g.,lacteos,leches,Leche/ productos lacteos/ huevos y alimentos vegetales
Leche en polvo descremada Svelty 750 g.,lacteos,leches,Leche/ productos lacteos/ huevos y alimentos vegetales
Leche en polvo entera Purisima plus 800 g.,lacteos,leches,Leche/ productos lacteos/ huevos y alimentos vegetales
Golden milk Dicomere leche en polvo de coco vegano 150 g.,lacteos,leches,Leche/ productos lacteos/ huevos y alimentos vegetales
Leche en polvo Sancor bebe 3 advanced 800 g.,lacteos,leches,Leche/ productos lacteos/ huevos y alimentos vegetales
Polvo Lechelista para preparar bebida lactea 800 g.,lacteos,leches,Leche/ productos lacteos/ huevos y alimentos vegetales
Leche modificada en polvo armonia bolsa x 800 grs,lacteos,leches,Leche/ productos lacteos/ huevos y alimentos vegetales
Leche de almendras Silk sin azucar tetra 1 lt.,lacteos,leches,Leche/ productos lacteos/ huevos y alimentos vegetales
Alimento veg. beb. La Serenisima almendra s azucar 1000 cc.,lacteos,leches,Leche/ productos lacteos/ huevos y alimentos vegetales
Te en saquitos diamantado Taragui x 50 uni,desayuno,infusiones,Bebidas no alcoholicas
Cacao en polvo Nesquik 150 g.,desayuno,infusiones,Bebidas no alcoholicas
Cacao en polvo Nesquik cocoa plan 360 g.,desayuno,infusiones,Bebidas no alcoholicas
Mate cocido saquitos diamantados Taragui x 50 uni,desayuno,infusiones,Bebidas no alcoholicas
Cacao en polvo Nesquik cocoa plan 800 g.,desayuno,infusiones,Bebidas no alcoholicas
Te Taragui filtro diamantado x 25 uni,desayuno,infusiones,Bebidas no alcoholicas
Mate cocido saquitos diamantados Taragui x 25 uni,desayuno,infusiones,Bebidas no alcoholicas
Mate cocido saquitos diamantados Taragui x 100 uni,desayuno,infusiones,Bebidas no alcoholicas
Cacao en polvo Nesquik menos azucar 300 g.,desayuno,infusiones,Bebidas no alcoholicas
Te de manzanilla en saquitos Taragui 25 u.,desayuno,infusiones,Bebidas no alcoholicas
Te de manzanilla en saquitos Carrefour 25 u.,desayuno,infusiones,Bebidas no alcoholicas
Te verde en saquitos Taragui 40 u.,desayuno,infusiones,Bebidas no alcoholicas
Cacao en polvo Toddy original bolsa 180 g.,desayuno,infusiones,Bebidas no alcoholicas
Cacao en polvo Arcor en bolsa 180 g.,desayuno,infusiones,Bebidas no alcoholicas
Mate cocido saquitos diamantados Union x 50 uni,desayuno,infusiones,Bebidas no alcoholicas
Mate cocido Amanda 25 uni,desayuno,infusiones,Bebidas no alcoholicas
Te molienda controlada La Virginia x 50 uni,desayuno,infusiones,Bebidas no alcoholicas
Te La Virginia en saquitos x 25 uni,desayuno,infusiones,Bebidas no alcoholicas
Te de tilo manzanilla La Virginia en sobres x 25 uni,desayuno,infusiones,Bebidas no alcoholicas
Te Morenita boldo en saquitos la x 20 uni,desayuno,infusiones,Bebidas no alcoholicas
Cacao en polvo Carrefour classic pouch 180 g.,desayuno,infusiones,Bebidas no alcoholicas
Te manzanilla en saquitos La Virginia x 25 uni,desayuno,infusiones,Bebidas no alcoholicas
Cacao en polvo Carrefour classic pouch 800 g.,desayuno,infusiones,Bebidas no alcoholicas
Te Morenita en saquitos la x 25 uni,desayuno,infusiones,Bebidas no alcoholicas
Te boldo hierbas en saquitos La Virginia x 50 uni,desayuno,infusiones,Bebidas no alcoholicas
Mate cocido Cachamate 25 uni,desayuno,infusiones,Bebidas no alcoholicas
Te La Virginia de canela en saquitos x 20 uni,desayuno,infusiones,Bebidas no alcoholicas
Te Morenita manzanilla en saquitos la x 20 uni,desayuno,infusiones,Bebidas no alcoholicas
Polvo chocolatado Nescao 300 g.,desayuno,infusiones,Bebidas no alcoholicas
Te en saquitos Saint Gottard limon lima jengibre menta 20 u.,desayuno,infusiones,Bebidas no alcoholicas
Te molienda controlada La Virginia x 100 uni,desayuno,infusiones,Bebidas no alcoholicas
Te La Virginia mandarina naranja pomelo x 20 uni,desayuno,infusiones,Bebidas no alcoholicas
Te verde La Virginia citrus en saquitos 20 g.,desayuno,infusiones,Bebidas no alcoholicas
Te verde menta y miel Saint gottard 10 uni,desayuno,infusiones,Bebidas no alcoholicas
Tostadas de arroz Carrefour classic aireadas sin TACC,otro,otro,Pan / pastas y cereales
Tostaditas de arroz Crackines 120 g. sin TACC,otro,otro,Pan / pastas y cereales
Tostadas de arroz Criollitas sin TACC 110 g.,otro,otro,Pan / pastas y cereales
Postre Carrefour a base de pasta de mani barra sin TACC 200 g.,otro,otro,otro
Mate cocido en saquitos Carrefour sin TACC x 50 un.,otro,otro,otro
Galletas de arroz Crisppino queso y cibulette 50 g. sin TACC,otro,otro,Pan / pastas y cereales
Galletita de arroz Crisppino oliva y hierbas 50 g. sin TACC,otro,otro,Pan / pastas y cereales
Chips de batata sin TACC Nuestros Sabores yukitas 70 g.,otro,otro,otro
Te en saquitos Carrefour sin TACC x 50 un.,otro,otro,otro
Jamon cocido 200 g. BAJO PRECIO GARANTIZADO,otro,otro,otro
Maiz inflado Grandiet azucarado sin TACC 200 g.,otro,otro,Pan / pastas y cereales
Fideos fusilli Wakas multicereal kale 250 g. sin TACC,otro,otro,otro
Galletas crackers Smams 150 g. sin TACC,otro,otro,otro
Galletitas Santa Maria vainilla 200 g. sin TACC,otro,otro,otro
Galletitas Santa Maria marmoladas 200 g. sin TACC,otro,otro,otro
Fideos fusilli Wakas arroz con quinoa 250 g. sin TACC,otro,otro,Pan / pastas y cereales
Yerba mate con palo Carrefour sin TACC 1 kg.,otro,otro,otro
Tostadas de arroz Lulemuu con sal 120 g. sin TACC,otro,otro,Pan / pastas y cereales
Barrita arroz banada chocolate negro Lulemuu sin TACC 12 g.,otro,otro,Pan / pastas y cereales
Barrita de arroz Lulemuu banada limon sin TACC 12 g.,otro,otro,Pan / pastas y cereales
Galletitas de chocolate Smams rellenas 105 g. sin TACC,otro,otro,Azucar/ dulces/ chocolate/golosinas/ etc.
Cubanitos de arroz Repop mani sin TACC 18 g.,otro,otro,Pan / pastas y cereales
Galletas de arroz Crisppino jamon 50 g. sin TACC,otro,otro,Pan / pastas y cereales
Barrita de arroz dulce de leche Lulemuu sin TACC 12 g.,otro,otro,Pan / pastas y cereales
Oblea Lulemuu rellena de mani chorqui sin TACC 20 g.,otro,otro,otro
Manteca Ghee cows clarificada sin TACC 300 g.,otro,otro,otro
Yerba mate sabor naranja Carrefour sin TACC 500 g.,otro,otro,otro
Merengue La Amistad mediano color sin TACC 100 grs.,otro,otro,otro
Almohaditas sin TACC rellenas con choco Snuks 240 g.,otro,otro,otro
Merengue La Amistad mediano color 100 grs.,otro,otro,otro
Galletas de arroz y maiz Grandiet vainilla 100 g. sin TACC,otro,otro,Pan / pastas y cereales
Alfajor Donn arroz chocolate sin TACC pack x 3 uni,otro,otro,Pan / pastas y cereales
Galletitas Gullon chips chocolate sin azucares 130 g. sin TACC,otro,otro,Azucar/ dulces/ chocolate/golosinas/ etc.
Mix de frutos secos Zafran almendras pasas 28 g. sin TACC,otro,otro,otro
Mini merengue blancos La Amistad sin TACC 100 grs.,otro,otro,otro
Anillitos Aglu vainilla banados en chocolate 140 g. SIN TACC.,otro,otro,Azucar/ dulces/ chocolate/golosinas/ etc.
Mini merengue La Amistad de colores 100 grs.,otro,otro,otro
Galletas de arroz Grandiet pizza 100 g. sin TACC,otro,otro,Pan / pastas y cereales
Galletitas Vai colegial smams sin TACC 150 g.,otro,otro,otro
Barrita banada chocolate blanco Lulemuu sin TACC 12 g.,otro,otro,Azucar/ dulces/ chocolate/golosinas/ etc.
Yerba mate con palo Carrefour sin TACC 500 g.,otro,otro,otro
Galletas Yuka naranja sin TACC 150 g.,otro,otro,otro
Oblea rellena de frutilla Lulemuu chorqui paquete sin TACC 20 g.,otro,otro,otro
Bizcochos de arroz Lulemuu dulces 50 g. SIN TACC,otro,otro,Pan / pastas y cereales
Cubanitos rellenos Repop sin TACC 15 g. x 5 u.,otro,otro,otro
Mini cake Delician coco y dulce de leche 150 g. sin TACC,otro,otro,otro
Harina de arroz Santa Maria 1 kg. Sin TACC,otro,otro,Pan / pastas y cereales
Barra de arroz Crowie coco pack sin TACC 12 g. x 3 un.,otro,otro,Pan / pastas y cereales
